date,srcid,destid,transactions
17-02-2023,1,2,28
17-02-2023,1,3,36
17-02-2023,2,3,9
17-02-2023,2,4,37
17-02-2023,3,4,18
17-02-2023,1,4,29
17-02-2023,2,5,48
17-02-2023,3,5,34
17-02-2023,4,5,14
17-02-2023,1,5,49
18-02-2023,1,2,26
18-02-2023,1,3,13
18-02-2023,2,3,35
18-02-2023,2,4,9
18-02-2023,3,4,38
18-02-2023,1,4,23
18-02-2023,2,5,40
18-02-2023,3,5,7
18-02-2023,4,5,5
18-02-2023,1,5,18
19-02-2023,1,2,47
19-02-2023,1,3,50
19-02-2023,2,3,16
19-02-2023,2,4,38
19-02-2023,3,4,38
19-02-2023,1,4,8
19-02-2023,2,5,29
19-02-2023,3,5,45
19-02-2023,4,5,46
19-02-2023,1,5,34
20-02-2023,1,2,13
20-02-2023,1,3,7
20-02-2023,2,3,22
20-02-2023,2,4,19
20-02-2023,3,4,29
20-02-2023,1,4,7
20-02-2023,2,5,30
20-02-2023,3,5,28
20-02-2023,4,5,8
20-02-2023,1,5,37
21-02-2023,1,2,28
21-02-2023,1,3,33
21-02-2023,2,3,30
21-02-2023,2,4,5
21-02-2023,3,4,22
21-02-2023,1,4,33
21-02-2023,2,5,40
21-02-2023,3,5,39
21-02-2023,4,5,47
21-02-2023,1,5,13
22-02-2023,1,2,34
22-02-2023,1,3,32
22-02-2023,2,3,14
22-02-2023,2,4,29
22-02-2023,3,4,38
22-02-2023,1,4,12
22-02-2023,2,5,26
22-02-2023,3,5,35
22-02-2023,4,5,10
22-02-2023,1,5,49
23-02-2023,1,2,7
23-02-2023,1,3,34
23-02-2023,2,3,14
23-02-2023,2,4,8
23-02-2023,3,4,29
23-02-2023,1,4,9
23-02-2023,2,5,20
23-02-2023,3,5,9
23-02-2023,4,5,46
23-02-2023,1,5,18
24-02-2023,1,2,6
24-02-2023,1,3,24
24-02-2023,2,3,7
24-02-2023,2,4,37
24-02-2023,3,4,21
24-02-2023,1,4,39
24-02-2023,2,5,30
24-02-2023,3,5,7
24-02-2023,4,5,26
24-02-2023,1,5,26
25-02-2023,1,2,48
25-02-2023,1,3,33
25-02-2023,2,3,36
25-02-2023,2,4,50
25-02-2023,3,4,7
25-02-2023,1,4,34
25-02-2023,2,5,16
25-02-2023,3,5,22
25-02-2023,4,5,10
25-02-2023,1,5,39
26-02-2023,1,2,44
26-02-2023,1,3,26
26-02-2023,2,3,33
26-02-2023,2,4,10
26-02-2023,3,4,28
26-02-2023,1,4,47
26-02-2023,2,5,12
26-02-2023,3,5,30
26-02-2023,4,5,46
26-02-2023,1,5,41
27-02-2023,1,2,42
27-02-2023,1,3,22
27-02-2023,2,3,26
27-02-2023,2,4,41
27-02-2023,3,4,25
27-02-2023,1,4,21
27-02-2023,2,5,16
27-02-2023,3,5,23
27-02-2023,4,5,25
27-02-2023,1,5,43
28-02-2023,1,2,25
28-02-2023,1,3,22
28-02-2023,2,3,46
28-02-2023,2,4,26
28-02-2023,3,4,8
28-02-2023,1,4,47
28-02-2023,2,5,47
28-02-2023,3,5,16
28-02-2023,4,5,14
28-02-2023,1,5,42
01-03-2023,1,2,49
01-03-2023,1,3,31
01-03-2023,2,3,31
01-03-2023,2,4,19
01-03-2023,3,4,44
01-03-2023,1,4,44
01-03-2023,2,5,23
01-03-2023,3,5,33
01-03-2023,4,5,28
01-03-2023,1,5,36
02-03-2023,1,2,33
02-03-2023,1,3,11
02-03-2023,2,3,37
02-03-2023,2,4,25
02-03-2023,3,4,49
02-03-2023,1,4,24
02-03-2023,2,5,18
02-03-2023,3,5,50
02-03-2023,4,5,31
02-03-2023,1,5,5
03-03-2023,1,2,12
03-03-2023,1,3,25
03-03-2023,2,3,24
03-03-2023,2,4,31
03-03-2023,3,4,8
03-03-2023,1,4,23
03-03-2023,2,5,24
03-03-2023,3,5,23
03-03-2023,4,5,36
03-03-2023,1,5,10
04-03-2023,1,2,12
04-03-2023,1,3,14
04-03-2023,2,3,11
04-03-2023,2,4,40
04-03-2023,3,4,31
04-03-2023,1,4,20
04-03-2023,2,5,41
04-03-2023,3,5,47
04-03-2023,4,5,31
04-03-2023,1,5,30
05-03-2023,1,2,5
05-03-2023,1,3,48
05-03-2023,2,3,19
05-03-2023,2,4,36
05-03-2023,3,4,13
05-03-2023,1,4,49
05-03-2023,2,5,36
05-03-2023,3,5,10
05-03-2023,4,5,21
05-03-2023,1,5,38
06-03-2023,1,2,35
06-03-2023,1,3,5
06-03-2023,2,3,27
06-03-2023,2,4,15
06-03-2023,3,4,47
06-03-2023,1,4,28
06-03-2023,2,5,29
06-03-2023,3,5,22
06-03-2023,4,5,29
06-03-2023,1,5,46
07-03-2023,1,2,21
07-03-2023,1,3,27
07-03-2023,2,3,19
07-03-2023,2,4,44
07-03-2023,3,4,23
07-03-2023,1,4,25
07-03-2023,2,5,25
07-03-2023,3,5,33
07-03-2023,4,5,17
07-03-2023,1,5,23
08-03-2023,1,2,12
08-03-2023,1,3,6
08-03-2023,2,3,16
08-03-2023,2,4,30
08-03-2023,3,4,35
08-03-2023,1,4,12
08-03-2023,2,5,32
08-03-2023,3,5,34
08-03-2023,4,5,32
08-03-2023,1,5,12
09-03-2023,1,2,49
09-03-2023,1,3,43
09-03-2023,2,3,41
09-03-2023,2,4,45
09-03-2023,3,4,29
09-03-2023,1,4,33
09-03-2023,2,5,44
09-03-2023,3,5,17
09-03-2023,4,5,29
09-03-2023,1,5,34
10-03-2023,1,2,44
10-03-2023,1,3,42
10-03-2023,2,3,29
10-03-2023,2,4,8
10-03-2023,3,4,26
10-03-2023,1,4,29
10-03-2023,2,5,23
10-03-2023,3,5,38
10-03-2023,4,5,39
10-03-2023,1,5,47
11-03-2023,1,2,27
11-03-2023,1,3,27
11-03-2023,2,3,48
11-03-2023,2,4,40
11-03-2023,3,4,37
11-03-2023,1,4,10
11-03-2023,2,5,7
11-03-2023,3,5,8
11-03-2023,4,5,13
11-03-2023,1,5,35
12-03-2023,1,2,33
12-03-2023,1,3,6
12-03-2023,2,3,32
12-03-2023,2,4,32
12-03-2023,3,4,46
12-03-2023,1,4,24
12-03-2023,2,5,40
12-03-2023,3,5,6
12-03-2023,4,5,43
12-03-2023,1,5,44
13-03-2023,1,2,30
13-03-2023,1,3,19
13-03-2023,2,3,8
13-03-2023,2,4,21
13-03-2023,3,4,46
13-03-2023,1,4,50
13-03-2023,2,5,20
13-03-2023,3,5,7
13-03-2023,4,5,50
13-03-2023,1,5,46
14-03-2023,1,2,33
14-03-2023,1,3,19
14-03-2023,2,3,26
14-03-2023,2,4,36
14-03-2023,3,4,28
14-03-2023,1,4,32
14-03-2023,2,5,44
14-03-2023,3,5,10
14-03-2023,4,5,5
14-03-2023,1,5,18
15-03-2023,1,2,40
15-03-2023,1,3,36
15-03-2023,2,3,5
15-03-2023,2,4,16
15-03-2023,3,4,25
15-03-2023,1,4,23
15-03-2023,2,5,34
15-03-2023,3,5,42
15-03-2023,4,5,45
15-03-2023,1,5,14
16-03-2023,1,2,25
16-03-2023,1,3,8
16-03-2023,2,3,9
16-03-2023,2,4,29
16-03-2023,3,4,17
16-03-2023,1,4,6
16-03-2023,2,5,25
16-03-2023,3,5,25
16-03-2023,4,5,36
16-03-2023,1,5,11
17-03-2023,1,2,45
17-03-2023,1,3,28
17-03-2023,2,3,18
17-03-2023,2,4,39
17-03-2023,3,4,45
17-03-2023,1,4,42
17-03-2023,2,5,28
17-03-2023,3,5,10
17-03-2023,4,5,29
17-03-2023,1,5,46
18-03-2023,1,2,39
18-03-2023,1,3,41
18-03-2023,2,3,15
18-03-2023,2,4,25
18-03-2023,3,4,45
18-03-2023,1,4,11
18-03-2023,2,5,44
18-03-2023,3,5,14
18-03-2023,4,5,28
18-03-2023,1,5,38
19-03-2023,1,2,47
19-03-2023,1,3,23
19-03-2023,2,3,36
19-03-2023,2,4,36
19-03-2023,3,4,18
19-03-2023,1,4,7
19-03-2023,2,5,48
19-03-2023,3,5,13
19-03-2023,4,5,38
19-03-2023,1,5,19
20-03-2023,1,2,46
20-03-2023,1,3,34
20-03-2023,2,3,12
20-03-2023,2,4,35
20-03-2023,3,4,45
20-03-2023,1,4,39
20-03-2023,2,5,44
20-03-2023,3,5,11
20-03-2023,4,5,50
20-03-2023,1,5,28
21-03-2023,1,2,16
21-03-2023,1,3,17
21-03-2023,2,3,25
21-03-2023,2,4,47
21-03-2023,3,4,11
21-03-2023,1,4,40
21-03-2023,2,5,30
21-03-2023,3,5,35
21-03-2023,4,5,7
21-03-2023,1,5,24
22-03-2023,1,2,36
22-03-2023,1,3,17
22-03-2023,2,3,28
22-03-2023,2,4,26
22-03-2023,3,4,7
22-03-2023,1,4,31
22-03-2023,2,5,19
22-03-2023,3,5,17
22-03-2023,4,5,14
22-03-2023,1,5,47
23-03-2023,1,2,24
23-03-2023,1,3,23
23-03-2023,2,3,48
23-03-2023,2,4,23
23-03-2023,3,4,10
23-03-2023,1,4,17
23-03-2023,2,5,37
23-03-2023,3,5,34
23-03-2023,4,5,29
23-03-2023,1,5,29
24-03-2023,1,2,24
24-03-2023,1,3,8
24-03-2023,2,3,10
24-03-2023,2,4,16
24-03-2023,3,4,10
24-03-2023,1,4,5
24-03-2023,2,5,17
24-03-2023,3,5,29
24-03-2023,4,5,17
24-03-2023,1,5,44
25-03-2023,1,2,36
25-03-2023,1,3,37
25-03-2023,2,3,13
25-03-2023,2,4,18
25-03-2023,3,4,34
25-03-2023,1,4,12
25-03-2023,2,5,14
25-03-2023,3,5,19
25-03-2023,4,5,38
25-03-2023,1,5,42
26-03-2023,1,2,8
26-03-2023,1,3,47
26-03-2023,2,3,48
26-03-2023,2,4,26
26-03-2023,3,4,12
26-03-2023,1,4,33
26-03-2023,2,5,31
26-03-2023,3,5,28
26-03-2023,4,5,26
26-03-2023,1,5,16
27-03-2023,1,2,19
27-03-2023,1,3,17
27-03-2023,2,3,19
27-03-2023,2,4,9
27-03-2023,3,4,26
27-03-2023,1,4,34
27-03-2023,2,5,44
27-03-2023,3,5,10
27-03-2023,4,5,28
27-03-2023,1,5,38
28-03-2023,1,2,49
28-03-2023,1,3,50
28-03-2023,2,3,21
28-03-2023,2,4,10
28-03-2023,3,4,15
28-03-2023,1,4,31
28-03-2023,2,5,36
28-03-2023,3,5,9
28-03-2023,4,5,24
28-03-2023,1,5,42
29-03-2023,1,2,23
29-03-2023,1,3,40
29-03-2023,2,3,9
29-03-2023,2,4,42
29-03-2023,3,4,11
29-03-2023,1,4,40
29-03-2023,2,5,30
29-03-2023,3,5,17
29-03-2023,4,5,19
29-03-2023,1,5,37
30-03-2023,1,2,9
30-03-2023,1,3,33
30-03-2023,2,3,10
30-03-2023,2,4,33
30-03-2023,3,4,24
30-03-2023,1,4,12
30-03-2023,2,5,23
30-03-2023,3,5,11
30-03-2023,4,5,32
30-03-2023,1,5,8
31-03-2023,1,2,18
31-03-2023,1,3,28
31-03-2023,2,3,20
31-03-2023,2,4,46
31-03-2023,3,4,45
31-03-2023,1,4,15
31-03-2023,2,5,50
31-03-2023,3,5,46
31-03-2023,4,5,45
31-03-2023,1,5,9
01-04-2023,1,2,32
01-04-2023,1,3,35
01-04-2023,2,3,40
01-04-2023,2,4,47
01-04-2023,3,4,38
01-04-2023,1,4,23
01-04-2023,2,5,11
01-04-2023,3,5,15
01-04-2023,4,5,14
01-04-2023,1,5,38
02-04-2023,1,2,20
02-04-2023,1,3,13
02-04-2023,2,3,27
02-04-2023,2,4,33
02-04-2023,3,4,24
02-04-2023,1,4,29
02-04-2023,2,5,44
02-04-2023,3,5,13
02-04-2023,4,5,20
02-04-2023,1,5,10
03-04-2023,1,2,46
03-04-2023,1,3,12
03-04-2023,2,3,10
03-04-2023,2,4,35
03-04-2023,3,4,45
03-04-2023,1,4,44
03-04-2023,2,5,5
03-04-2023,3,5,40
03-04-2023,4,5,8
03-04-2023,1,5,7
04-04-2023,1,2,26
04-04-2023,1,3,14
04-04-2023,2,3,37
04-04-2023,2,4,45
04-04-2023,3,4,31
04-04-2023,1,4,26
04-04-2023,2,5,26
04-04-2023,3,5,20
04-04-2023,4,5,50
04-04-2023,1,5,28
05-04-2023,1,2,37
05-04-2023,1,3,35
05-04-2023,2,3,43
05-04-2023,2,4,18
05-04-2023,3,4,33
05-04-2023,1,4,49
05-04-2023,2,5,16
05-04-2023,3,5,39
05-04-2023,4,5,19
05-04-2023,1,5,31
06-04-2023,1,2,50
06-04-2023,1,3,7
06-04-2023,2,3,35
06-04-2023,2,4,21
06-04-2023,3,4,16
06-04-2023,1,4,43
06-04-2023,2,5,5
06-04-2023,3,5,16
06-04-2023,4,5,8
06-04-2023,1,5,5
07-04-2023,1,2,34
07-04-2023,1,3,47
07-04-2023,2,3,24
07-04-2023,2,4,16
07-04-2023,3,4,50
07-04-2023,1,4,38
07-04-2023,2,5,12
07-04-2023,3,5,29
07-04-2023,4,5,24
07-04-2023,1,5,47
08-04-2023,1,2,19
08-04-2023,1,3,29
08-04-2023,2,3,25
08-04-2023,2,4,10
08-04-2023,3,4,30
08-04-2023,1,4,45
08-04-2023,2,5,42
08-04-2023,3,5,15
08-04-2023,4,5,9
08-04-2023,1,5,41
09-04-2023,1,2,43
09-04-2023,1,3,6
09-04-2023,2,3,45
09-04-2023,2,4,32
09-04-2023,3,4,40
09-04-2023,1,4,38
09-04-2023,2,5,9
09-04-2023,3,5,6
09-04-2023,4,5,21
09-04-2023,1,5,33
10-04-2023,1,2,21
10-04-2023,1,3,25
10-04-2023,2,3,50
10-04-2023,2,4,37
10-04-2023,3,4,45
10-04-2023,1,4,20
10-04-2023,2,5,6
10-04-2023,3,5,23
10-04-2023,4,5,20
10-04-2023,1,5,45
11-04-2023,1,2,49
11-04-2023,1,3,40
11-04-2023,2,3,35
11-04-2023,2,4,5
11-04-2023,3,4,38
11-04-2023,1,4,29
11-04-2023,2,5,9
11-04-2023,3,5,35
11-04-2023,4,5,20
11-04-2023,1,5,37
12-04-2023,1,2,29
12-04-2023,1,3,9
12-04-2023,2,3,17
12-04-2023,2,4,26
12-04-2023,3,4,25
12-04-2023,1,4,38
12-04-2023,2,5,41
12-04-2023,3,5,42
12-04-2023,4,5,6
12-04-2023,1,5,5
13-04-2023,1,2,39
13-04-2023,1,3,36
13-04-2023,2,3,42
13-04-2023,2,4,49
13-04-2023,3,4,46
13-04-2023,1,4,30
13-04-2023,2,5,25
13-04-2023,3,5,39
13-04-2023,4,5,32
13-04-2023,1,5,31
14-04-2023,1,2,24
14-04-2023,1,3,15
14-04-2023,2,3,5
14-04-2023,2,4,33
14-04-2023,3,4,23
14-04-2023,1,4,34
14-04-2023,2,5,50
14-04-2023,3,5,35
14-04-2023,4,5,19
14-04-2023,1,5,48
15-04-2023,1,2,46
15-04-2023,1,3,15
15-04-2023,2,3,33
15-04-2023,2,4,31
15-04-2023,3,4,20
15-04-2023,1,4,30
15-04-2023,2,5,13
15-04-2023,3,5,5
15-04-2023,4,5,15
15-04-2023,1,5,18
16-04-2023,1,2,40
16-04-2023,1,3,26
16-04-2023,2,3,29
16-04-2023,2,4,45
16-04-2023,3,4,13
16-04-2023,1,4,13
16-04-2023,2,5,25
16-04-2023,3,5,25
16-04-2023,4,5,17
16-04-2023,1,5,36
17-04-2023,1,2,28
17-04-2023,1,3,6
17-04-2023,2,3,17
17-04-2023,2,4,46
17-04-2023,3,4,16
17-04-2023,1,4,36
17-04-2023,2,5,6
17-04-2023,3,5,38
17-04-2023,4,5,12
17-04-2023,1,5,19
18-04-2023,1,2,15
18-04-2023,1,3,19
18-04-2023,2,3,20
18-04-2023,2,4,39
